,InAcc ID, 2020 total amount ,GSC Top3,GSC Top3 pct,GSC Recommendation Top3
1725,290234," 24,304 ",FIQ - TAPE TERM/SPLICING KITS,1,"('FJC - ENERGY RESINS', 1977.5955955809109)('FJG - HIGH VOLTAGE', 1853.187026453065)('FJI - SEPARABLE CONNECTORS', 1804.8647048789132)"
834,233234," 24,225 ","FTM - POLYESTER FILM TAPES,FTR - OEM REINFORCED FILAMENT TAPE",1,"('FTB - COMPOSITE, ACETATE & PAPER', 10022.412553447773)('FTU - 92/1205 & OTH HI-TEMP', 7570.51771854601)('FTZ - 1/S10/S20 EPOXY TAPES', 7361.693803417129)"
3604,319571," 24,134 ",FID - GENERAL USE VINYL-BLACK,1,"('FIN - ALL MASTICS', 3590.864281368007)('FIC - 33 VINYL TAPE', 2726.4273859863733)('FIL - 23 RUBBER TAPE', 2471.452527273452)"
167,115138," 23,930 ","FJL - QTII,RUBBER, PORCELAIN TERMI,FJF - QSIII & QS-2000 SPLICES",1,"('FJM - QTIII RUBBER TERMINATIONS', 7910.685958167154)('FJI - SEPARABLE CONNECTORS', 4895.886903151017)('FJZ - MISC PRODUCT - POWER PROD', 3446.439447882861)"
1884,293911," 23,914 ",FSB - COPPER FOIL TAPES,1,"('FSQ - GLASS CLOTH TAPES', 4796.473844564862)('FSD - SPECIALTY FOIL TAPES', 4680.8791748065805)('FTM - POLYESTER FILM TAPES', 4550.890188373182)"
1700,289840," 23,766 ",FID - GENERAL USE VINYL-BLACK,1,"('FIN - ALL MASTICS', 3536.2192612914837)('FIC - 33 VINYL TAPE', 2684.937185418935)('FIL - 23 RUBBER TAPE', 2433.842480669412)"
958,252192," 23,689 ",FJZ - MISC PRODUCT - POWER PROD,1,"('FIT - SILICONE TAPE', 4632.597780944772)('FJI - SEPARABLE CONNECTORS', 4192.416681809231)('FIP - ARC PROOFING TAPE', 4132.392200292607)"
2867,306995," 23,594 ",FTU - 92/1205 & OTH HI-TEMP,1,"('FTB - COMPOSITE, ACETATE & PAPER', 7903.112056309385)('FTM - POLYESTER FILM TAPES', 7505.3562953368055)('FTZ - 1/S10/S20 EPOXY TAPES', 5974.995412160701)"
271,128670," 23,572 ",FTF - 60 TO 63 PTFE HI-TEMP TAPES,1,"('FSB - COPPER FOIL TAPES', 3232.7293511141415)('FTU - 92/1205 & OTH HI-TEMP', 2955.846282897325)('FSD - SPECIALTY FOIL TAPES', 2752.569856829663)"
3151,312113," 23,517 ","FJM - QTIII RUBBER TERMINATIONS,FJL - QTII,RUBBER, PORCELAIN TERMI,FJF - QSIII & QS-2000 SPLICES",1,"('FJI - SEPARABLE CONNECTORS', 4186.618777129357)('FJZ - MISC PRODUCT - POWER PROD', 2831.5896985538457)('FJC - ENERGY RESINS', 2646.2584816887347)"
